Chromosome	gene	max_pvalue	phenotype	phenotype_number	log10
2	SORBI_3002G205600	7.75E-09	"Sum_DG_Sum_PA,Sum_MGDG_Sum_PA"	2	8.110540411
2	SORBI_3002G205700	7.75E-09	"Sum_DG_Sum_PA,Sum_MGDG_Sum_PA"	2	8.110540411
2	SORBI_3002G205800	7.75E-09	"Sum_DG_Sum_PA,Sum_MGDG_Sum_PA"	2	8.110540411
2	SORBI_3002G205900	7.75E-09	"Sum_DG_Sum_PA,Sum_MGDG_Sum_PA"	2	8.110540411
2	SORBI_3002G210200	9.68E-08	"FA_22_1_,Sum_DG_Sum_PA"	2	7.013993567
2	SORBI_3002G210700	7.35E-11	"FA_22_1_,TG_58_6_"	2	10.13349143
2	SORBI_3002G210901	9.66E-08	"PS_36_2_,Sum_PS"	2	7.014926764
2	SORBI_3002G211000	9.66E-08	"PS_36_2_,Sum_PS"	2	7.014926764
2	SORBI_3002G211200	9.66E-08	"PS_36_2_,Sum_PS"	2	7.014926764
2	SORBI_3002G211600	6.73E-08	"FA_22_1_,Sum_DG_Sum_PA"	2	7.17193254
2	SORBI_3002G211700	6.73E-08	"FA_22_1_,Sum_DG_Sum_PA"	2	7.17193254
2	SORBI_3002G211800	6.73E-08	"FA_22_1_,Sum_DG_Sum_PA"	2	7.17193254
2	SORBI_3002G219200	2.28E-08	"Sum_DG_Sum_PA,TG_50_5_"	2	7.642882891
2	SORBI_3002G221400	7.62E-09	"PS_36_2_,Sum_PS"	2	8.118127906
2	SORBI_3002G221450	7.62E-09	"PS_36_2_,Sum_PS"	2	8.118127906
2	SORBI_3002G222700	5.51E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.259181698
2	SORBI_3002G223200	4.76E-08	"PC_32_2_,TG_50_4_"	2	7.322161728
2	SORBI_3002G225700	1.05E-08	"PS_36_2_,Sum_PS"	2	7.980091481
2	SORBI_3002G225800	1.05E-08	"PS_36_2_,Sum_PS"	2	7.980091481
2	SORBI_3002G225900	1.05E-08	"PS_36_2_,Sum_PS"	2	7.980091481
2	SORBI_3002G228200	3.21E-08	"Sum_LPC_Sum_PS,Sum_PA_Sum_PS"	2	7.493102656
2	SORBI_3002G228300	3.21E-08	"Sum_LPC_Sum_PS,Sum_PA_Sum_PS"	2	7.493102656
2	SORBI_3002G228400	3.21E-08	"Sum_LPC_Sum_PS,Sum_PA_Sum_PS"	2	7.493102656
2	SORBI_3002G228500	3.21E-08	"Sum_LPC_Sum_PS,Sum_PA_Sum_PS"	2	7.493102656
2	SORBI_3002G228600	3.21E-08	"Sum_LPC_Sum_PS,Sum_PA_Sum_PS"	2	7.493102656
2	SORBI_3002G228700	3.21E-08	"Sum_LPC_Sum_PS,Sum_PA_Sum_PS"	2	7.493102656
2	SORBI_3002G228800	3.21E-08	"Sum_LPC_Sum_PS,Sum_PA_Sum_PS"	2	7.493102656
2	SORBI_3002G234500	3.32E-08	"SQDG_32_0_,Sum_Cer_Sum_PC"	2	7.479013423
2	SORBI_3002G244300	4.64E-08	"Sum_DG_Sum_PA,Sum_PC_Sum_PE"	2	7.333039714
2	SORBI_3002G250000	1.28E-08	"Sum_FA_Sum_PA,Sum_LPC_Sum_PA"	2	7.893281264
2	SORBI_3002G252000	6.44E-08	"Sum_LPE_Sum_SQDG,TG_50_5_"	2	7.191290584
2	SORBI_3002G252700	3.86E-09	"PC_38_4_,TG_48_4_"	2	8.413645769
2	SORBI_3002G252800	3.86E-09	"PC_38_4_,TG_48_4_"	2	8.413645769
2	SORBI_3002G252900	3.86E-09	"PC_38_4_,TG_48_4_"	2	8.413645769
2	SORBI_3002G253000	3.86E-09	"PC_38_4_,TG_48_4_"	2	8.413645769
2	SORBI_3002G253100	1.82E-09	"PC_38_4_,TG_48_4_"	2	8.740669453
2	SORBI_3002G253200	1.22E-10	"PC_38_4_,TG_48_4_"	2	9.91512643
2	SORBI_3002G253300	1.22E-10	"PC_38_4_,TG_48_4_"	2	9.91512643
2	SORBI_3002G253400	1.22E-10	"PC_38_4_,TG_48_4_"	2	9.91512643
2	SORBI_3002G253500	1.22E-10	"PC_38_4_,TG_48_4_"	2	9.91512643
2	SORBI_3002G253600	1.22E-10	"PC_38_4_,TG_48_4_"	2	9.91512643
2	SORBI_3002G253800	7.50E-08	"PC_38_4_,TG_48_4_"	2	7.124652891
2	SORBI_3002G253900	8.21E-08	"PC_38_4_,TG_48_4_"	2	7.085886535
2	SORBI_3002G254000	8.21E-08	"PC_38_4_,TG_48_4_"	2	7.085886535
2	SORBI_3002G255600	8.10E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.091729393
2	SORBI_3002G267800	8.44E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.07370572
2	SORBI_3002G267900	8.44E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.07370572
2	SORBI_3002G268000	8.44E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.07370572
2	SORBI_3002G268100	8.44E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.07370572
2	SORBI_3002G268200	8.44E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.07370572
2	SORBI_3002G280600	4.94E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.306068699
2	SORBI_3002G280700	1.16E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.934505061
2	SORBI_3002G280800	1.16E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.934505061
2	SORBI_3002G280950	5.35E-09	"Sum_AEG_Sum_PA,Sum_DG_Sum_PA"	2	8.271244093
2	SORBI_3002G282400	8.98E-08	"PS_36_2_,Sum_PS"	2	7.046645613
2	SORBI_3002G282500	8.98E-08	"PS_36_2_,Sum_PS"	2	7.046645613
2	SORBI_3002G299000	4.54E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.342957348
2	SORBI_3002G299100	4.54E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.342957348
2	SORBI_3002G299300	5.32E-08	"Sum_DGDG_Sum_PA,Sum_MGDG_Sum_TG"	2	7.273945613
2	SORBI_3002G300950	3.19E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.496100144
2	SORBI_3002G301000	3.19E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.496100144
2	SORBI_3002G301100	3.19E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.496100144
2	SORBI_3002G321500	4.07E-08	"DGDG_36_5_,Sum_LPC_Sum_PE"	2	7.390216548
2	SORBI_3002G321600	4.07E-08	"DGDG_36_5_,Sum_LPC_Sum_PE"	2	7.390216548
2	SORBI_3002G326500	1.43E-08	"Sum_AEG_Sum_Cer,Sum_Cer_Sum_PA"	2	7.845541333
2	SORBI_3002G326800	6.37E-08	"Sum_Cer_Sum_PA,Sum_FA_Sum_PA"	2	7.196165294
2	SORBI_3002G328900	7.82E-08	"PC_38_4_,TG_48_4_"	2	7.106811852
2	SORBI_3002G329000	7.82E-08	"PC_38_4_,TG_48_4_"	2	7.106811852
2	SORBI_3002G329100	7.82E-08	"PC_38_4_,TG_48_4_"	2	7.106811852
2	SORBI_3002G329200	7.82E-08	"PC_38_4_,TG_48_4_"	2	7.106811852
2	SORBI_3002G329300	7.82E-08	"PC_38_4_,TG_48_4_"	2	7.106811852
2	SORBI_3002G330500	3.47E-09	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	8.459622593
2	SORBI_3002G330600	3.47E-09	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	8.459622593
2	SORBI_3002G330700	3.47E-09	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	8.459622593
2	SORBI_3002G335400	8.38E-08	"Sum_Cer_Sum_PA,Sum_DG_Sum_PA"	2	7.07653692
2	SORBI_3002G335500	8.38E-08	"Sum_Cer_Sum_PA,Sum_DG_Sum_PA"	2	7.07653692
2	SORBI_3002G335600	8.38E-08	"Sum_Cer_Sum_PA,Sum_DG_Sum_PA"	2	7.07653692
2	SORBI_3002G337600	3.91E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.407354546
2	SORBI_3002G337700	3.91E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.407354546
2	SORBI_3002G338800	3.23E-08	"TG_46_3_,TG_58_6_"	2	7.491307905
2	SORBI_3002G338900	3.23E-08	"TG_46_3_,TG_58_6_"	2	7.491307905
2	SORBI_3002G339000	3.23E-08	"TG_46_3_,TG_58_6_"	2	7.491307905
2	SORBI_3002G339900	9.75E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.011018636
2	SORBI_3002G340000	2.87E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.541390098
2	SORBI_3002G340100	2.87E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.541390098
2	SORBI_3002G340200	2.87E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.541390098
2	SORBI_3002G341900	8.60E-08	"Sum_Cer_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.065277289
2	SORBI_3002G342000	8.60E-08	"Sum_Cer_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.065277289
2	SORBI_3002G342100	8.60E-08	"Sum_Cer_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.065277289
2	SORBI_3002G343100	7.61E-08	"Sum_LPC_Sum_PE,TG_50_5_"	2	7.11839922
2	SORBI_3002G343200	7.61E-08	"Sum_LPC_Sum_PE,TG_50_5_"	2	7.11839922
2	SORBI_3002G343300	8.79E-08	"Sum_LPC_Sum_PE,TG_50_5_"	2	7.055839467
2	SORBI_3002G343400	8.79E-08	"Sum_LPC_Sum_PE,TG_50_5_"	2	7.055839467
2	SORBI_3002G346200	6.32E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.199267598
2	SORBI_3002G346250	6.32E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.199267598
2	SORBI_3002G346300	6.32E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.199267598
2	SORBI_3002G346400	6.32E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.199267598
2	SORBI_3002G358400	2.91E-08	"Sum_AEG_Sum_Cer,TG_46_3_"	2	7.535679643
2	SORBI_3002G358450	2.91E-08	"Sum_AEG_Sum_Cer,TG_46_3_"	2	7.535679643
2	SORBI_3002G361300	2.11E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.67543771
2	SORBI_3002G361400	2.11E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.67543771
2	SORBI_3002G361500	2.11E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.67543771
2	SORBI_3002G368100	2.09E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.679057338
2	SORBI_3002G368200	2.09E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.679057338
2	SORBI_3002G368300	2.09E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.679057338
2	SORBI_3002G368400	2.09E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.679057338
2	SORBI_3002G368500	2.09E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.679057338
2	SORBI_3002G373700	3.27E-08	"TG_48_4_,TG_56_5_"	2	7.485308967
2	SORBI_3002G373800	3.27E-08	"TG_48_4_,TG_56_5_"	2	7.485308967
2	SORBI_3002G373900	3.27E-08	"TG_48_4_,TG_56_5_"	2	7.485308967
2	SORBI_3002G373950	3.27E-08	"TG_48_4_,TG_56_5_"	2	7.485308967
2	SORBI_3002G379800	8.30E-08	"PC_38_2_,Sum_DG_Sum_PA"	2	7.081063783
2	SORBI_3002G379866	8.30E-08	"PC_38_2_,Sum_DG_Sum_PA"	2	7.081063783
2	SORBI_3002G379932	8.30E-08	"PC_38_2_,Sum_DG_Sum_PA"	2	7.081063783
2	SORBI_3002G380000	8.30E-08	"PC_38_2_,Sum_DG_Sum_PA"	2	7.081063783
2	SORBI_3002G380100	8.30E-08	"PC_38_2_,Sum_DG_Sum_PA"	2	7.081063783
2	SORBI_3002G381700	2.50E-08	"Sum_Cer_Sum_PA,TG_48_4_"	2	7.602224881
2	SORBI_3002G384100	3.72E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.428995226
2	SORBI_3002G384150	3.72E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.428995226
2	SORBI_3002G384200	3.72E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.428995226
2	SORBI_3002G384300	3.72E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.428995226
2	SORBI_3002G384400	3.72E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.428995226
2	SORBI_3002G384500	3.72E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.428995226
2	SORBI_3002G390800	8.88E-08	"Sum_DGDG_Sum_PE,Sum_MGDG_Sum_PE"	2	7.05153324
2	SORBI_3002G390900	8.88E-08	"Sum_DGDG_Sum_PE,Sum_MGDG_Sum_PE"	2	7.05153324
2	SORBI_3002G391000	8.88E-08	"Sum_DGDG_Sum_PE,Sum_MGDG_Sum_PE"	2	7.05153324
2	SORBI_3002G391100	8.88E-08	"Sum_DGDG_Sum_PE,Sum_MGDG_Sum_PE"	2	7.05153324
2	SORBI_3002G414900	2.23E-08	"Sum_AEG_Sum_DGDG,Sum_Cer_Sum_DGDG"	2	7.651224874
2	SORBI_3002G415300	5.53E-08	"Sum_SQDG_Sum_TG,TG_56_5_"	2	7.257592892
2	SORBI_3002G415400	5.53E-08	"Sum_SQDG_Sum_TG,TG_56_5_"	2	7.257592892
2	SORBI_3002G418600	5.50E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.259798582
2	SORBI_3002G426100	5.07E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.295412662
2	SORBI_3002G426201	5.07E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.295412662
3	SORBI_3003G025600	2.31E-08	"Sum_FA_Sum_LPC,Sum_SQDG_Sum_TG"	2	7.636729386
3	SORBI_3003G026000	2.96E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.52848709
3	SORBI_3003G026100	2.96E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.52848709
3	SORBI_3003G026200	2.96E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.52848709
3	SORBI_3003G026300	2.65E-09	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	8.576014816
3	SORBI_3003G026400	2.65E-09	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	8.576014816
3	SORBI_3003G026600	2.65E-09	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	8.576014816
3	SORBI_3003G026700	2.65E-09	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	8.576014816
3	SORBI_3003G029700	4.30E-09	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	8.366310313
3	SORBI_3003G029800	4.30E-09	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	8.366310313
3	SORBI_3003G032100	3.75E-10	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	9.426148973
3	SORBI_3003G032200	3.75E-10	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	9.426148973
3	SORBI_3003G032301	3.75E-10	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	9.426148973
3	SORBI_3003G034400	2.90E-09	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	8.537412901
3	SORBI_3003G034500	2.90E-09	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	8.537412901
3	SORBI_3003G036900	1.61E-08	"FA_22_1_,TG_56_8_"	2	7.79184065
3	SORBI_3003G040900	1.73E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.763033694
3	SORBI_3003G048700	2.12E-11	"PC_38_2_,Sum_Cer_Sum_DG"	2	10.67314985
3	SORBI_3003G048900	2.12E-11	"PC_38_2_,Sum_Cer_Sum_DG"	2	10.67314985
3	SORBI_3003G049000	2.12E-11	"PC_38_2_,Sum_Cer_Sum_DG"	2	10.67314985
3	SORBI_3003G049100	2.12E-11	"PC_38_2_,Sum_Cer_Sum_DG"	2	10.67314985
3	SORBI_3003G049200	2.12E-11	"PC_38_2_,Sum_Cer_Sum_DG"	2	10.67314985
3	SORBI_3003G052300	4.65E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.332217109
3	SORBI_3003G053100	4.13E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.384485934
3	SORBI_3003G053200	4.13E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.384485934
3	SORBI_3003G055450	1.18E-08	"Sum_AEG_Sum_Cer,TG_46_3_"	2	7.926440004
3	SORBI_3003G055500	1.18E-08	"Sum_AEG_Sum_Cer,TG_46_3_"	2	7.926440004
3	SORBI_3003G055600	1.18E-08	"Sum_AEG_Sum_Cer,TG_46_3_"	2	7.926440004
3	SORBI_3003G055800	6.06E-08	"Sum_PA_Sum_TG,Sum_SQDG_Sum_TG"	2	7.217622773
3	SORBI_3003G055900	6.06E-08	"Sum_PA_Sum_TG,Sum_SQDG_Sum_TG"	2	7.217622773
3	SORBI_3003G056000	6.06E-08	"Sum_PA_Sum_TG,Sum_SQDG_Sum_TG"	2	7.217622773
3	SORBI_3003G056100	6.06E-08	"Sum_PA_Sum_TG,Sum_SQDG_Sum_TG"	2	7.217622773
3	SORBI_3003G056200	6.06E-08	"Sum_PA_Sum_TG,Sum_SQDG_Sum_TG"	2	7.217622773
3	SORBI_3003G068000	9.55E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.020095095
3	SORBI_3003G068100	5.55E-08	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.255324849
3	SORBI_3003G068300	1.91E-08	"TG_52_4_,TG_52_5_"	2	7.719617653
3	SORBI_3003G068500	2.64E-09	"MGDG_34_1_,SQDG_32_0_"	2	8.578709075
3	SORBI_3003G068600	2.64E-09	"MGDG_34_1_,SQDG_32_0_"	2	8.578709075
3	SORBI_3003G068700	2.64E-09	"MGDG_34_1_,SQDG_32_0_"	2	8.578709075
3	SORBI_3003G068750	2.64E-09	"MGDG_34_1_,SQDG_32_0_"	2	8.578709075
3	SORBI_3003G072300	3.90E-11	"Sum_PA_Sum_TG,Sum_SQDG_Sum_TG"	2	10.40873878
3	SORBI_3003G073200	8.09E-08	"Sum_DG_Sum_TG,Sum_FA_Sum_GalCer"	2	7.091891157
3	SORBI_3003G073540	8.09E-08	"Sum_DG_Sum_TG,Sum_FA_Sum_GalCer"	2	7.091891157
3	SORBI_3003G077001	1.53E-08	"FA_22_1_,Sum_PA_Sum_TG"	2	7.816625653
3	SORBI_3003G077100	1.53E-08	"FA_22_1_,Sum_PA_Sum_TG"	2	7.816625653
3	SORBI_3003G077500	7.98E-08	"TG_50_4_,TG_50_5_"	2	7.097849049
3	SORBI_3003G079532	7.14E-09	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	8.146575346
3	SORBI_3003G079600	7.14E-09	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	8.146575346
3	SORBI_3003G079700	7.14E-09	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	8.146575346
3	SORBI_3003G079725	7.14E-09	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	8.146575346
3	SORBI_3003G081900	4.41E-08	"Sum_LPC_Sum_MGDG,Sum_LPE_Sum_MGDG"	2	7.355613805
3	SORBI_3003G083300	6.99E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.155627962
3	SORBI_3003G083400	6.99E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.155627962
3	SORBI_3003G084501	5.57E-08	"Sum_Cer_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	7.254126326
3	SORBI_3003G084700	6.06E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.21724446
3	SORBI_3003G084750	6.06E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.21724446
3	SORBI_3003G084800	6.06E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.21724446
3	SORBI_3003G084900	6.06E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.21724446
3	SORBI_3003G086300	5.03E-08	"Sum_DG_Sum_PA,Sum_DGDG_Sum_PA"	2	7.29824297
3	SORBI_3003G087700	2.93E-08	"Sum_AEG_Sum_TG,Sum_SQDG_Sum_TG"	2	7.532991146
3	SORBI_3003G087800	2.93E-08	"Sum_AEG_Sum_TG,Sum_SQDG_Sum_TG"	2	7.532991146
3	SORBI_3003G087900	2.93E-08	"Sum_AEG_Sum_TG,Sum_SQDG_Sum_TG"	2	7.532991146
3	SORBI_3003G088400	5.23E-08	"FA_22_1_,Sum_FA_Sum_PC"	2	7.281453555
3	SORBI_3003G093400	8.21E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.085557511
3	SORBI_3003G094800	3.71E-08	"Sum_LPE_Sum_MGDG,TG_54_6_"	2	7.430207801
3	SORBI_3003G094850	3.71E-08	"Sum_LPE_Sum_MGDG,TG_54_6_"	2	7.430207801
3	SORBI_3003G094900	3.71E-08	"Sum_LPE_Sum_MGDG,TG_54_6_"	2	7.430207801
3	SORBI_3003G095000	3.71E-08	"Sum_LPE_Sum_MGDG,TG_54_6_"	2	7.430207801
3	SORBI_3003G095200	6.46E-08	"Sum_FA_Sum_GalCer,Sum_MGDG_Sum_TG"	2	7.19006924
3	SORBI_3003G099166	8.76E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.057709127
3	SORBI_3003G099232	8.76E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.057709127
3	SORBI_3003G099300	8.76E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.057709127
3	SORBI_3003G104350	4.90E-08	"Sum_Cer_Sum_PC,TG_50_5_"	2	7.310241093
3	SORBI_3003G107900	3.68E-08	"Sum_DG_Sum_PA,TG_48_4_"	2	7.434380364
3	SORBI_3003G113700	8.21E-09	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	8.085682711
3	SORBI_3003G117500	3.36E-08	"Sum_DG_Sum_PA,Sum_LPC_Sum_PE"	2	7.473836932
3	SORBI_3003G119750	6.02E-09	"FA_22_1_,TG_56_5_"	2	8.220191247
3	SORBI_3003G119800	3.52E-09	"FA_22_1_,TG_56_5_"	2	8.453503113
3	SORBI_3003G120800	7.44E-08	"PS_36_2_,Sum_PS"	2	7.128326441
3	SORBI_3003G120900	7.44E-08	"PS_36_2_,Sum_PS"	2	7.128326441
3	SORBI_3003G121000	3.76E-08	"PS_36_2_,Sum_PS"	2	7.424962798
3	SORBI_3003G121400	6.00E-08	"PS_36_2_,Sum_PS"	2	7.222063851
3	SORBI_3003G121800	2.68E-09	"PS_36_2_,Sum_PS"	2	8.571407979
3	SORBI_3003G121900	4.99E-08	"PS_36_2_,Sum_PS"	2	7.301935923
3	SORBI_3003G122000	4.99E-08	"PS_36_2_,Sum_PS"	2	7.301935923
3	SORBI_3003G122100	4.70E-08	"PS_36_2_,Sum_PS"	2	7.327713404
3	SORBI_3003G122200	2.27E-08	"PS_36_2_,Sum_PS"	2	7.644674744
3	SORBI_3003G122300	2.27E-08	"PS_36_2_,Sum_PS"	2	7.644674744
3	SORBI_3003G122400	2.27E-08	"PS_36_2_,Sum_PS"	2	7.644674744
3	SORBI_3003G122500	9.95E-09	"PS_36_2_,Sum_PS"	2	8.001986133
3	SORBI_3003G122800	9.95E-09	"PS_36_2_,Sum_PS"	2	8.001986133
3	SORBI_3003G122900	9.96E-09	"PS_36_2_,Sum_PS"	2	8.001773802
3	SORBI_3003G123000	9.96E-09	"PS_36_2_,Sum_PS"	2	8.001773802
3	SORBI_3003G123100	2.00E-08	"PS_36_2_,Sum_PS"	2	7.698511848
3	SORBI_3003G123200	1.32E-08	"PS_36_2_,Sum_PS"	2	7.877891316
3	SORBI_3003G123300	1.32E-08	"PS_36_2_,Sum_PS"	2	7.877891316
3	SORBI_3003G129000	3.56E-09	"Sum_AEG_Sum_DGDG,Sum_Cer_Sum_DGDG"	2	8.448665667
3	SORBI_3003G129700	6.54E-08	"PE_34_1_,PE_36_4_"	2	7.18451058
3	SORBI_3003G129800	6.54E-08	"PE_34_1_,PE_36_4_"	2	7.18451058
3	SORBI_3003G133700	3.82E-08	"FA_18_4_,Sum_FA_Sum_GalCer"	2	7.418383667
3	SORBI_3003G133800	3.82E-08	"FA_18_4_,Sum_FA_Sum_GalCer"	2	7.418383667
3	SORBI_3003G136600	1.68E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.774398443
3	SORBI_3003G136700	1.68E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.774398443
3	SORBI_3003G137500	6.82E-08	"Sum_Cer_Sum_PA,Sum_LPE_Sum_PA"	2	7.166003306
3	SORBI_3003G139300	4.61E-08	"Sum_Cer_Sum_PA,Sum_LPC_Sum_TG"	2	7.335845422
3	SORBI_3003G139400	3.21E-08	"Sum_FA_Sum_GalCer,Sum_MGDG_Sum_TG"	2	7.492881976
3	SORBI_3003G140450	2.00E-10	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	9.698664152
3	SORBI_3003G140500	2.00E-10	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	9.698664152
3	SORBI_3003G140550	2.00E-10	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	9.698664152
3	SORBI_3003G140600	2.00E-10	"Sum_AEG_Sum_GalCer,Sum_DGDG_Sum_GalCer"	2	9.698664152
3	SORBI_3003G141400	2.02E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.695003521
3	SORBI_3003G141500	2.02E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.695003521
3	SORBI_3003G146000	9.25E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.033794701
3	SORBI_3003G146900	1.79E-08	"Sum_DG_Sum_TG,Sum_MGDG_Sum_TG"	2	7.747011607
3	SORBI_3003G149750	5.33E-08	"Sum_DGDG_Sum_GalCer,Sum_DGDG_Sum_TG"	2	7.273249325
3	SORBI_3003G150400	2.09E-08	"Sum_PA_Sum_TG,Sum_SQDG_Sum_TG"	2	7.679849142
