Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number			Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
4	SORBI_3004G326200	MGDG(18:2_18:2);MGDG(18:2_18:3)	50;31	SNP_66124540;SNP_66124540	5.360382e-09;2.680687e-08	2			2	SORBI_3002G114501	PC(18:2_20:4)	59	SNP_13970481	7.01E-09	1
4	SORBI_3004G326300	MGDG(18:2_18:2);MGDG(18:2_18:3)	49;31	SNP_66123788;SNP_66123788	5.360382e-09;2.680687e-08	2			2	SORBI_3002G114600	PC(18:2_20:4)	53	SNP_13971898	7.01E-09	1
4	SORBI_3004G326400	MGDG(18:2_18:2);MGDG(18:2_18:3)	125;112	SNP_66128201;SNP_66129377	5.360382e-09;2.680687e-08	2			2	SORBI_3002G119400	PC(18:2_20:4)	48	SNP_14949330	2.52E-08	1
4	SORBI_3004G326500	MGDG(18:2_18:2);MGDG(18:2_18:3)	133;126	SNP_66133305;SNP_66133305	5.360382e-09;2.680687e-08	2			2	SORBI_3002G119500	PC(18:2_20:4)	21	SNP_14965278	2.52E-08	1
4	SORBI_3004G345300	TG(14:0_14:0_16:1);TG(14:0_16:0_18:1)	48;83	SNP_67520358;SNP_67520358	1.882396e-08;1.96002e-09	2			2	SORBI_3002G120400	PC(18:2_20:4)	11	SNP_15405710	1.32E-09	1
4	SORBI_3004G345400	TG(14:0_14:0_16:1);TG(14:0_16:0_18:1)	43;19	SNP_67523872;SNP_67524313	1.882396e-08;1.96002e-09	2			2	SORBI_3002G121000	PC(18:2_20:4)	31	SNP_15877480	1.72E-08	1
4	SORBI_3004G345500	TG(14:0_14:0_16:1);TG(14:0_16:0_18:1)	17;18	SNP_67534794;SNP_67536386	1.882396e-08;1.96002e-09	2			2	SORBI_3002G121300	PC(18:2_20:4)	38	SNP_15945457	4.33E-08	1
4	SORBI_3004G345600	TG(14:0_14:0_16:1);TG(14:0_16:0_18:1)	13;21	SNP_67540542;SNP_67540542	1.882396e-08;1.96002e-09	2			2	SORBI_3002G121450	PC(18:2_20:4)	47	SNP_15986011	3.15E-08	1
4	SORBI_3004G348100	DG(16:1_18:2);PC(18:2_20:4)	25;14	SNP_67719529;SNP_67722303	9.905478e-08;1.428553e-08	2			2	SORBI_3002G121600	PC(18:2_20:4)	22	SNP_16025501	2.08E-08	1
4	SORBI_3004G352200	SQDG(16:0_18:1);TG(16:1_20:1_20:2)	5;23	SNP_68089856;SNP_68083835	1.601441e-08;4.98682e-08	2			2	SORBI_3002G121701	PC(18:2_20:4)	36	SNP_16059946	2.52E-08	1
4	SORBI_3004G352301	SQDG(16:0_18:1);TG(16:1_20:1_20:2)	5;22	SNP_68089856;SNP_68085728	1.601441e-08;4.98682e-08	2			2	SORBI_3002G121800	PC(18:2_20:4)	27	SNP_16079809	3.46E-08	1
4	SORBI_3004G352400	SQDG(16:0_18:1);TG(16:1_20:1_20:2)	5;21	SNP_68089856;SNP_68086197	1.601441e-08;4.98682e-08	2			2	SORBI_3002G122400	PC(18:2_20:4)	55	SNP_16256929	5.27E-08	1
4	SORBI_3004G352500	SQDG(16:0_18:1);TG(16:1_20:1_20:2)	9;25	SNP_68089856;SNP_68089856	1.601441e-08;4.98682e-08	2			2	SORBI_3002G122500	PC(18:2_20:4)	55	SNP_16266411	5.27E-08	1
5	SORBI_3005G002900	TG(18:0_18:2_18:3);TG(18:1_18:1_20:3)	45;47	SNP_225512;SNP_225512	6.358674e-08;9.226984e-08	2			2	SORBI_3002G122600	PC(18:2_20:4)	85	SNP_16266411	5.27E-08	1
5	SORBI_3005G028800	PC(18:0_20:4);PC(18:1_24:1)	57;52	SNP_2569924;SNP_2565365	6.0948e-08;3.59636e-09	2			2	SORBI_3002G122700	PC(18:2_20:4)	89	SNP_16276529	5.27E-08	1
5	SORBI_3005G028900	PC(18:0_20:4);PC(18:1_24:1)	60;51	SNP_2569924;SNP_2570904	6.0948e-08;3.59636e-09	2			2	SORBI_3002G133300	PC(18:2_20:4)	26	SNP_19484982	3.15E-08	1
5	SORBI_3005G029000	PC(18:0_20:4);PC(18:1_24:1)	51;50	SNP_2575199;SNP_2575199	6.0948e-08;3.59636e-09	2			2	SORBI_3002G133350	PC(18:2_20:4)	13	SNP_19498753	3.15E-08	1
5	SORBI_3005G029100	PC(18:0_20:4);PC(18:1_24:1)	29;28	SNP_2580757;SNP_2580757	6.0948e-08;3.59636e-09	2			2	SORBI_3002G142300	PC(18:2_20:4)	15	SNP_23273194	4.84E-08	1
5	SORBI_3005G047800	SQDG(16:0_18:1);TG(18:1_18:2_18:2)	3;7	SNP_4549050;SNP_4552002	1.287958e-08;3.028628e-08	2			2	SORBI_3002G142400	PC(18:2_20:4)	5	SNP_23298766	4.84E-08	1
5	SORBI_3005G052100	DG(8:0_8:0);SM(d18:1_17:0)	5;7	SNP_5143703;SNP_5143703	6.403953e-09;1.711163e-08	2			2	SORBI_3002G159200	PC(18:2_20:4)	29	SNP_49243080	9.11E-08	1
5	SORBI_3005G052900	PC(18:2_20:4);TG(18:1_18:2_18:2)	41;89	SNP_5317872;SNP_5314831	1.206236e-09;7.543159e-10	2			2	SORBI_3002G170780	PC(18:2_20:4)	8	SNP_54090218	5.56E-08	1
5	SORBI_3005G053001	PC(18:2_20:4);TG(18:1_18:2_18:2)	41;72	SNP_5317872;SNP_5317872	1.206236e-09;7.543159e-10	2			2	SORBI_3002G170820	PC(18:2_20:4)	8	SNP_54090218	5.56E-08	1
5	SORBI_3005G054700	PC(18:2_20:4);TG(16:1_16:1_22:5)	46;75	SNP_5532336;SNP_5528888	3.185743e-09;3.032907e-08	2			2	SORBI_3002G175500	PC(18:2_20:4)	13	SNP_55388885	6.56E-09	1
5	SORBI_3005G056300	TG(18:1_18:2_18:2);TG(18:2_20:2_22:2)	14;16	SNP_5696951;SNP_5692254	2.939133e-08;7.634187e-09	2			2	SORBI_3002G175550	PC(18:2_20:4)	6	SNP_55396377	9.35E-08	1
5	SORBI_3005G056400	TG(18:1_18:2_18:2);TG(18:2_20:2_22:2)	22;25	SNP_5696951;SNP_5696951	2.939133e-08;7.634187e-09	2			2	SORBI_3002G244300	PC(18:2_20:4)	11	SNP_63298174	1.72E-08	1
5	SORBI_3005G056500	TG(18:1_18:2_18:2);TG(18:2_20:2_22:2)	18;24	SNP_5709075;SNP_5709075	2.939133e-08;7.634187e-09	2			2	SORBI_3002G251100	PC(18:2_20:4)	18	SNP_63801920	4.85E-10	1
5	SORBI_3005G058100	DG(18:0_20:3);PC(18:1_18:2)	319;308	SNP_5985941;SNP_5986042	6.82186e-08;6.737214e-08	2			2	SORBI_3002G251200	PC(18:2_20:4)	21	SNP_63820151	4.85E-10	1
5	SORBI_3005G058200	DG(18:0_20:3);PC(18:1_18:2)	312;303	SNP_5996089;SNP_5995941	6.82186e-08;6.737214e-08	2			2	SORBI_3002G251300	PC(18:2_20:4)	21	SNP_63820151	4.85E-10	1
5	SORBI_3005G058300	DG(18:0_20:3);PC(18:1_18:2)	312;303	SNP_5996089;SNP_5995941	6.82186e-08;6.737214e-08	2			2	SORBI_3002G251400	PC(18:2_20:4)	25	SNP_63820151	4.85E-10	1
5	SORBI_3005G064300	TG(12:0_18:1_18:3);TG(12:0_18:2_18:3)	6;61	SNP_7098575;SNP_7098575	1.627256e-17;2.048217e-15	2			2	SORBI_3002G251501	PC(18:2_20:4)	60	SNP_63820151	4.85E-10	1
5	SORBI_3005G064400	TG(12:0_18:1_18:3);TG(12:0_18:2_18:3)	2;56	SNP_7106620;SNP_7103747	1.627256e-17;2.048217e-15	2			2	SORBI_3002G251600	PC(18:2_20:4)	96	SNP_63824362	4.85E-10	1
5	SORBI_3005G083866	SQDG(16:0_18:1);TG(18:2_20:3_22:0)	24;16	SNP_11337125;SNP_11325820	1.01361e-08;6.501791e-08	2			2	SORBI_3002G251700	PC(18:2_20:4)	99	SNP_63826533	4.85E-10	1
5	SORBI_3005G089900	DG(8:0_8:0);SM(d18:1_17:0)	66;106	SNP_12960078;SNP_12958942	6.148429e-22;1.068219e-15	2			2	SORBI_3002G251800	PC(18:2_20:4)	101	SNP_63830076	3.30E-08	1
5	SORBI_3005G108900	PC(18:0_20:4);SQDG(16:0_18:2)	12;25	SNP_21193583;SNP_21193083	5.036227e-08;5.471015e-08	2			2	SORBI_3002G251900	PC(18:2_20:4)	114	SNP_63834271	3.30E-08	1
5	SORBI_3005G110502	DG(8:0_8:0);SM(d18:1_17:0)	11;31	SNP_33635418;SNP_33627300	3.696544e-25;1.178751e-21	2			2	SORBI_3002G254100	PC(18:2_20:4)	5	SNP_64052477	4.37E-08	1
5	SORBI_3005G130051	MGDG(16:0_18:1);SQDG(16:0_18:1)	59;12	SNP_56537587;SNP_56537561	5.404392e-10;1.569571e-10	2			2	SORBI_3002G282150	PC(18:2_20:4)	17	SNP_66332473	2.80E-09	1
5	SORBI_3005G132066	PC(16:2_16:1);PC(18:0_20:2)	54;29	SNP_57413291;SNP_57413075	3.762203e-08;8.478753e-08	2			2	SORBI_3002G282200	PC(18:2_20:4)	36	SNP_66339586	2.80E-09	1
5	SORBI_3005G133500	TG(14:0_18:3_18:3);TG(18:2_18:3_20:1)	4;3	SNP_58022765;SNP_58007974	2.902217e-08;4.041335e-08	2			2	SORBI_3002G282300	PC(18:2_20:4)	40	SNP_66339586	2.80E-09	1
5	SORBI_3005G133600	TG(14:0_18:3_18:3);TG(18:2_18:3_20:1)	4;3	SNP_58022765;SNP_58007974	2.902217e-08;4.041335e-08	2			2	SORBI_3002G282400	PC(18:2_20:4)	34	SNP_66352209	2.80E-09	1
5	SORBI_3005G133700	TG(14:0_18:3_18:3);TG(18:2_18:3_20:1)	4;2	SNP_58022765;SNP_58023587	2.902217e-08;4.041335e-08	2			2	SORBI_3002G282500	PC(18:2_20:4)	22	SNP_66358201	7.17E-09	1
5	SORBI_3005G133750	TG(14:0_18:3_18:3);TG(18:2_18:3_20:1)	4;2	SNP_58022765;SNP_58023587	2.902217e-08;4.041335e-08	2			2	SORBI_3002G305900	PC(18:2_20:4)	9	SNP_68067967	2.37E-08	1
5	SORBI_3005G133800	TG(14:0_18:3_18:3);TG(18:2_18:3_20:1)	7;2	SNP_58022765;SNP_58023587	2.902217e-08;4.041335e-08	2			2	SORBI_3002G306000	PC(18:2_20:4)	12	SNP_68072774	1.00E-09	1
5	SORBI_3005G137400	DGDG(18:2_18:3);SQDG(18:3_18:3)	7;2	SNP_59011449;SNP_59011449	4.668048e-08;3.157656e-08	2			2	SORBI_3002G306100	PC(18:2_20:4)	28	SNP_68094816	1.00E-09	1
5	SORBI_3005G149650	TG(16:1_20:1_20:2);TG(18:0_18:2_18:3)	42;54	SNP_61837814;SNP_61837611	2.000873e-08;7.557294e-08	2			2	SORBI_3002G306201	PC(18:2_20:4)	31	SNP_68094816	1.00E-09	1
5	SORBI_3005G151100	TG(16:0_18:1_22:0);TG(16:1_20:1_20:2)	98;188	SNP_61991039;SNP_61988301	3.326294e-08;8.422455e-09	2			2	SORBI_3002G306300	PC(18:2_20:4)	33	SNP_68101124	1.36E-10	1
5	SORBI_3005G151350	PC(16:1_16:1);TG(14:0_18:3_18:3)	15;39	SNP_62063760;SNP_62062201	4.678524e-08;4.216654e-10	2			2	SORBI_3002G306400	PC(18:2_20:4)	37	SNP_68108271	1.36E-10	1
5	SORBI_3005G153500	PC(18:2_20:4);TG(14:0_18:3_18:3)	15;13	SNP_62422705;SNP_62422705	4.706803e-08;5.619901e-08	2			2	SORBI_3002G306500	PC(18:2_20:4)	39	SNP_68113373	1.36E-10	1
5	SORBI_3005G161600	SQDG(16:0_18:1);TG(18:1_18:2_18:2)	17;42	SNP_63639757;SNP_63632706	3.686512e-08;6.693911e-08	2			2	SORBI_3002G306600	PC(18:2_20:4)	26	SNP_68116023	1.36E-10	1
5	SORBI_3005G166432	DGDG(18:2_18:3);SQDG(18:3_18:3)	13;6	SNP_64297915;SNP_64324177	2.381908e-09;1.295229e-08	2			2	SORBI_3002G306700	PC(18:2_20:4)	21	SNP_68125094	8.43E-10	1
5	SORBI_3005G166500	DGDG(18:2_18:3);SQDG(18:3_18:3)	9;4	SNP_64329472;SNP_64330065	2.381908e-09;1.295229e-08	2			2	SORBI_3002G306800	PC(18:2_20:4)	15	SNP_68133340	8.43E-10	1
5	SORBI_3005G176700	PC(18:2_20:4);TG(12:0_18:2_18:3)	4;12	SNP_65853809;SNP_65854227	1.888686e-08;6.347175e-09	2			2	SORBI_3002G306900	PC(18:2_20:4)	10	SNP_68136963	3.50E-09	1
5	SORBI_3005G176800	PC(18:2_20:4);TG(12:0_18:2_18:3)	4;12	SNP_65853809;SNP_65854227	1.888686e-08;6.347175e-09	2			2	SORBI_3002G307000	PC(18:2_20:4)	5	SNP_68142738	1.49E-08	1
5	SORBI_3005G184800	TG(16:0_18:2_18:3);TG(16:0_18:2_22:0)	103;24	SNP_66957693;SNP_66957854	2.314392e-08;1.882928e-09	2			2	SORBI_3002G311501	PC(18:2_20:4)	14	SNP_68525596	1.15E-08	1
5	SORBI_3005G184900	TG(16:0_18:2_18:3);TG(16:0_18:2_22:0)	178;18	SNP_66960732;SNP_66961899	5.125786e-09;1.882928e-09	2			2	SORBI_3002G311601	PC(18:2_20:4)	14	SNP_68525596	1.15E-08	1
5	SORBI_3005G185000	TG(16:0_18:2_18:3);TG(16:0_18:2_22:0)	158;8	SNP_66969132;SNP_66970495	5.125786e-09;1.882928e-09	2			2	SORBI_3002G311700	PC(18:2_20:4)	10	SNP_68538381	1.15E-08	1
5	SORBI_3005G185100	TG(16:0_18:2_18:3);TG(16:0_18:2_22:0)	144;3	SNP_66975586;SNP_66982452	5.125786e-09;1.882928e-09	2			2	SORBI_3002G330800	PC(18:2_20:4)	14	SNP_69932563	1.95E-08	1
5	SORBI_3005G185150	TG(16:0_18:2_18:3);TG(16:0_18:2_22:0)	149;14	SNP_66981296;SNP_66982452	5.125786e-09;1.882928e-09	2			2	SORBI_3002G330900	PC(18:2_20:4)	3	SNP_69948933	1.97E-08	1
5	SORBI_3005G188600	MGDG(16:0_18:1);SQDG(16:0_18:1)	43;8	SNP_67327513;SNP_67337892	7.610015e-08;2.128124e-10	2			2	SORBI_3002G380200	PC(18:2_20:4)	27	SNP_73614141	8.76E-10	1
5	SORBI_3005G189500	PC(18:2_20:4);TG(16:0_18:2_18:3)	21;52	SNP_67390360;SNP_67390022	8.849124e-08;2.785239e-08	2			2	SORBI_3002G380300	PC(18:2_20:4)	18	SNP_73625812	8.76E-10	1
5	SORBI_3005G198500	TG(18:2_18:3_22:1);TG(8:0_10:0_10:0)	18;42	SNP_68385659;SNP_68376008	5.554667e-10;2.290523e-08	2			2	SORBI_3002G380400	PC(18:2_20:4)	16	SNP_73633872	8.76E-10	1
5	SORBI_3005G198600	TG(18:2_18:3_22:1);TG(8:0_10:0_10:0)	25;45	SNP_68385659;SNP_68380467	5.554667e-10;2.290523e-08	2			2	SORBI_3002G380500	PC(18:2_20:4)	30	SNP_73640873	1.50E-09	1
5	SORBI_3005G198700	TG(18:2_18:3_22:1);TG(8:0_10:0_10:0)	35;48	SNP_68385659;SNP_68385659	5.554667e-10;2.290523e-08	2			2	SORBI_3002G380550	PC(18:2_20:4)	31	SNP_73644009	1.50E-09	1
5	SORBI_3005G198800	TG(18:2_18:3_22:1);TG(8:0_10:0_10:0)	36;48	SNP_68391928;SNP_68389040	5.554667e-10;2.290523e-08	2			2	SORBI_3002G380600	PC(18:2_20:4)	44	SNP_73646734	1.50E-09	1
5	SORBI_3005G198901	TG(18:2_18:3_22:1);TG(8:0_10:0_10:0)	33;44	SNP_68395896;SNP_68395860	5.554667e-10;1.732816e-08	2			2	SORBI_3002G380700	PC(18:2_20:4)	39	SNP_73650693	1.50E-09	1
5	SORBI_3005G199300	TG(12:0_18:2_18:3);TG(18:2_18:3_20:1)	115;5	SNP_68480814;SNP_68476818	7.136341e-12;5.911222e-09	2			2	SORBI_3002G393600	PC(18:2_20:4)	20	SNP_74614621	6.86E-08	1
5	SORBI_3005G199400	TG(12:0_18:2_18:3);TG(18:2_18:3_20:1)	153;13	SNP_68480814;SNP_68483839	7.136341e-12;5.911222e-09	2			2	SORBI_3002G393700	PC(18:2_20:4)	17	SNP_74621926	6.86E-08	1
5	SORBI_3005G200600	PC(18:2_20:4);TG(8:0_10:0_10:0)	1;250	SNP_68632011;SNP_68607668	2.94566e-08;1.660013e-08	2			2	SORBI_3002G393800	PC(18:2_20:4)	1	SNP_74634563	6.86E-08	1
5	SORBI_3005G200700	PC(18:2_20:4);TG(8:0_10:0_10:0)	3;94	SNP_68632011;SNP_68614805	2.94566e-08;1.660013e-08	2			2	SORBI_3002G398100	PC(18:2_20:4)	5	SNP_74950397	1.64E-08	1
5	SORBI_3005G200800	PC(18:2_20:4);TG(8:0_10:0_10:0)	9;27	SNP_68632011;SNP_68618759	2.94566e-08;4.484083e-08	2			2	SORBI_3002G398200	PC(18:2_20:4)	5	SNP_74950397	1.64E-08	1
5	SORBI_3005G220101	DG(8:0_8:0);TG(18:1_18:2_18:2)	90;241	SNP_70658427;SNP_70659635	4.367765e-08;1.0775e-09	2			2	SORBI_3002G398300	PC(18:2_20:4)	3	SNP_74954110	1.64E-08	1
5	SORBI_3005G220200	DG(8:0_8:0);TG(18:1_18:2_18:2)	47;196	SNP_70674043;SNP_70673219	4.367765e-08;1.0775e-09	2			2	SORBI_3002G398400	PC(18:2_20:4)	2	SNP_74971045	1.64E-08	1
5	SORBI_3005G222700	TG(10:0_14:0_16:0);TG(12:0_12:0_18:1)	169;169	SNP_70928573;SNP_70928573	3.875371e-08;3.875356e-08	2			2	SORBI_3002G398500	PC(18:2_20:4)	2	SNP_74971045	1.64E-08	1
5	SORBI_3005G222800	TG(10:0_14:0_16:0);TG(12:0_12:0_18:1)	156;156	SNP_70930159;SNP_70930159	3.875371e-08;3.875356e-08	2			2	SORBI_3002G407000	PC(18:2_20:4)	109	SNP_75620696	1.36E-10	1
5	SORBI_3005G222900	TG(10:0_14:0_16:0);TG(12:0_12:0_18:1)	137;137	SNP_70939215;SNP_70939215	3.875371e-08;3.875356e-08	2			2	SORBI_3002G407100	PC(18:2_20:4)	116	SNP_75631113	1.36E-10	1
5	SORBI_3005G223000	TG(10:0_14:0_16:0);TG(12:0_12:0_18:1)	124;124	SNP_70944375;SNP_70944375	3.875371e-08;3.875356e-08	2			2	SORBI_3002G407200	PC(18:2_20:4)	91	SNP_75639691	1.36E-10	1
5	SORBI_3005G224000	TG(10:0_14:0_16:0);TG(12:0_12:0_18:1)	44;44	SNP_71070889;SNP_71070889	3.797526e-08;3.79752e-08	2			2	SORBI_3002G407300	PC(18:2_20:4)	69	SNP_75646701	1.36E-10	1
5	SORBI_3005G224900	DG(18:0_20:3);PC(18:2_20:4)	57;44	SNP_71163951;SNP_71158288	2.525532e-08;6.434775e-08	2			2	SORBI_3002G407400	PC(18:2_20:4)	66	SNP_75647115	1.36E-10	1
5	SORBI_3005G225000	DG(18:0_20:3);PC(18:2_20:4)	57;38	SNP_71163951;SNP_71161377	2.525532e-08;6.434775e-08	2			2	SORBI_3002G418300	PC(18:2_20:4)	9	SNP_76607380	2.92E-08	1
5	SORBI_3005G225100	DG(18:0_20:3);PC(18:2_20:4)	46;28	SNP_71167273;SNP_71169274	2.525532e-08;6.434775e-08	2			2	SORBI_3002G418400	PC(18:2_20:4)	8	SNP_76610438	2.92E-08	1
6	SORBI_3006G027700	MGDG(16:0_18:1);SQDG(16:0_18:1)	16;21	SNP_5689722;SNP_5689722	4.077629e-10;4.725833e-11	2			2	SORBI_3002G418500	PC(18:2_20:4)	4	SNP_76617813	2.92E-08	1
6	SORBI_3006G032900	DG(8:0_8:0);SM(d18:1_17:0)	5;2	SNP_7487562;SNP_7489851	3.522187e-14;9.085925e-12	2			2	SORBI_3002G418600	PC(18:2_20:4)	5	SNP_76628684	2.92E-08	1
6	SORBI_3006G033001	DG(8:0_8:0);SM(d18:1_17:0)	10;6	SNP_7499327;SNP_7505330	3.522187e-14;9.085925e-12	2			3	SORBI_3003G045300	PC(18:2_20:4)	30	SNP_4133215	4.90E-08	1
6	SORBI_3006G038200	PC(18:0_20:3);TG(18:1_18:2_22:0)	32;67	SNP_15369801;SNP_15365826	1.675529e-11;5.834441e-08	2			3	SORBI_3003G045400	PC(18:2_20:4)	26	SNP_4140692	4.90E-08	1
6	SORBI_3006G039400	AEG(o-15:2_15:0);SQDG(16:0_18:1)	31;32	SNP_17422979;SNP_17446433	5.998038e-08;3.821501e-08	2			3	SORBI_3003G045450	PC(18:2_20:4)	23	SNP_4142491	4.90E-08	1
6	SORBI_3006G050201	MGDG(16:0_18:1);SQDG(16:0_18:1)	11;26	SNP_37687198;SNP_37686837	6.069733e-08;1.255319e-09	2			3	SORBI_3003G045501	PC(18:2_20:4)	31	SNP_4144920	4.90E-08	1
6	SORBI_3006G103900	TG(12:0_18:1_18:3);TG(12:0_18:2_18:3)	23;46	SNP_47370191;SNP_47370191	3.288121e-09;5.517509e-08	2			3	SORBI_3003G045551	PC(18:2_20:4)	32	SNP_4154070	4.90E-08	1
6	SORBI_3006G104000	TG(12:0_18:1_18:3);TG(12:0_18:2_18:3)	19;43	SNP_47382719;SNP_47382719	3.288121e-09;5.517509e-08	2			3	SORBI_3003G045600	PC(18:2_20:4)	33	SNP_4154070	4.90E-08	1
6	SORBI_3006G104100	TG(12:0_18:1_18:3);TG(12:0_18:2_18:3)	17;41	SNP_47383825;SNP_47383825	3.288121e-09;5.517509e-08	2			3	SORBI_3003G045650	PC(18:2_20:4)	28	SNP_4157472	7.05E-08	1
6	SORBI_3006G212000	DG(18:2_18:3);PC(16:0_20:1)	62;2	SNP_56101435;SNP_56127870	3.400177e-08;8.957745e-14	2			3	SORBI_3003G049400	PC(18:2_20:4)	2	SNP_4528417	1.21E-08	1
6	SORBI_3006G212100	DG(18:2_18:3);PC(16:0_20:1)	62;2	SNP_56105273;SNP_56127870	3.400177e-08;8.957745e-14	2			3	SORBI_3003G049500	PC(18:2_20:4)	9	SNP_4528417	1.21E-08	1
6	SORBI_3006G212200	DG(18:2_18:3);PC(16:0_20:1)	68;2	SNP_56107868;SNP_56127870	2.552281e-08;8.957745e-14	2			3	SORBI_3003G049600	PC(18:2_20:4)	17	SNP_4529558	1.22E-08	1
6	SORBI_3006G212300	DG(18:2_18:3);PC(16:0_20:1)	65;2	SNP_56110663;SNP_56127870	2.552281e-08;8.957745e-14	2			3	SORBI_3003G085750	PC(18:2_20:4)	36	SNP_7394735	1.07E-08	1
6	SORBI_3006G212350	DG(18:2_18:3);PC(16:0_20:1)	36;2	SNP_56128264;SNP_56127870	2.552281e-08;8.957745e-14	2			3	SORBI_3003G085800	PC(18:2_20:4)	19	SNP_7404323	7.08E-08	1
6	SORBI_3006G212400	DG(18:2_18:3);PC(16:0_20:1)	49;2	SNP_56128264;SNP_56127870	2.552281e-08;8.957745e-14	2			3	SORBI_3003G085900	PC(18:2_20:4)	13	SNP_7413095	7.08E-08	1
6	SORBI_3006G213601	DG(18:2_18:3);MG(18:2)	17;37	SNP_56210532;SNP_56210091	1.235153e-09;4.189328e-08	2			3	SORBI_3003G095200	PC(18:2_20:4)	32	SNP_8299921	8.83E-10	1
6	SORBI_3006G213700	DG(18:2_18:3);MG(18:2)	17;39	SNP_56210532;SNP_56210091	1.235153e-09;4.189328e-08	2			3	SORBI_3003G095301	PC(18:2_20:4)	13	SNP_8358797	3.38E-08	1
6	SORBI_3006G213800	DG(18:2_18:3);MG(18:2)	19;39	SNP_56216056;SNP_56215641	1.235153e-09;4.189328e-08	2			3	SORBI_3003G095400	PC(18:2_20:4)	14	SNP_8358797	3.38E-08	1
6	SORBI_3006G213900	DG(18:2_18:3);MG(18:2)	22;31	SNP_56222654;SNP_56222654	1.235153e-09;9.087674e-09	2			3	SORBI_3003G095500	PC(18:2_20:4)	39	SNP_8358797	3.38E-08	1
6	SORBI_3006G214101	DG(18:2_18:3);MG(18:2)	27;33	SNP_56226757;SNP_56226757	1.235153e-09;9.087674e-09	2			3	SORBI_3003G096750	PC(18:2_20:4)	6	SNP_8565101	1.83E-09	1
6	SORBI_3006G214600	DG(18:2_18:3);MG(18:2)	29;29	SNP_56279607;SNP_56279607	4.105103e-10;2.599918e-08	2			3	SORBI_3003G096900	PC(18:2_20:4)	7	SNP_8565101	1.83E-09	1
6	SORBI_3006G214700	DG(18:2_18:3);MG(18:2)	19;20	SNP_56284379;SNP_56284379	4.105103e-10;2.599918e-08	2			3	SORBI_3003G096950	PC(18:2_20:4)	6	SNP_8570646	1.83E-09	1
6	SORBI_3006G214800	DG(18:2_18:3);MG(18:2)	10;11	SNP_56290587;SNP_56290587	4.105103e-10;2.599918e-08	2			3	SORBI_3003G097000	PC(18:2_20:4)	6	SNP_8570646	1.83E-09	1
6	SORBI_3006G214900	DG(18:2_18:3);MG(18:2)	3;4	SNP_56293512;SNP_56293512	2.393473e-09;4.974811e-08	2			3	SORBI_3003G101200	PC(18:2_20:4)	53	SNP_8952159	7.03E-08	1
6	SORBI_3006G215400	DGDG(16:0_18:2);MG(16:0)	158;68	SNP_56330427;SNP_56350067	9.270671e-08;5.164676e-08	2			3	SORBI_3003G103701	PC(18:2_20:4)	141	SNP_9238140	1.41E-08	1
6	SORBI_3006G215800	MG(16:0);MG(18:2)	175;176	SNP_56362117;SNP_56362117	3.19244e-08;4.863686e-08	2			3	SORBI_3003G104000	PC(18:2_20:4)	158	SNP_9309001	2.92E-09	1
6	SORBI_3006G218000	PC(18:1_20:4);PC(18:2_20:4)	68;77	SNP_56524432;SNP_56524432	6.336201e-09;9.23864e-10	2			3	SORBI_3003G104100	PC(18:2_20:4)	172	SNP_9316975	2.92E-09	1
6	SORBI_3006G218050	PC(18:1_20:4);PC(18:2_20:4)	82;90	SNP_56531291;SNP_56531291	6.336201e-09;9.23864e-10	2			3	SORBI_3003G104200	PC(18:2_20:4)	121	SNP_9322309	2.92E-09	1
6	SORBI_3006G218100	PC(18:1_20:4);PC(18:2_20:4)	81;90	SNP_56532791;SNP_56532791	6.336201e-09;9.23864e-10	2			3	SORBI_3003G105800	PC(18:2_20:4)	25	SNP_9578115	5.82E-09	1
6	SORBI_3006G218200	PC(18:1_20:4);PC(18:2_20:4)	87;87	SNP_56538714;SNP_56537866	6.336201e-09;9.23864e-10	2			3	SORBI_3003G105900	PC(18:2_20:4)	75	SNP_9590131	5.82E-09	1
6	SORBI_3006G218300	PC(18:1_20:4);PC(18:2_20:4)	91;81	SNP_56546401;SNP_56546401	6.336201e-09;9.23864e-10	2			3	SORBI_3003G106000	PC(18:2_20:4)	65	SNP_9598246	2.06E-09	1
6	SORBI_3006G227800	PC(18:1_20:4);PC(18:2_20:4)	36;43	SNP_57253100;SNP_57235646	6.916908e-08;2.95235e-09	2			3	SORBI_3003G106100	PC(18:2_20:4)	73	SNP_9604256	2.06E-09	1
6	SORBI_3006G227900	PC(18:1_20:4);PC(18:2_20:4)	50;48	SNP_57253100;SNP_57252958	6.916908e-08;2.95235e-09	2			3	SORBI_3003G106600	PC(18:2_20:4)	100	SNP_9642282	6.19E-11	1
6	SORBI_3006G228000	PC(18:1_20:4);PC(18:2_20:4)	65;61	SNP_57253100;SNP_57252958	6.916908e-08;2.95235e-09	2			3	SORBI_3003G106800	PC(18:2_20:4)	143	SNP_9654608	6.19E-11	1
6	SORBI_3006G228100	PC(18:1_20:4);PC(18:2_20:4)	72;67	SNP_57257996;SNP_57258054	6.916908e-08;2.95235e-09	2			3	SORBI_3003G106900	PC(18:2_20:4)	47	SNP_9671078	4.14E-10	1
