,DG(18:3),DG(20:1),DG(24:0),DG(34:1),DG(34:2),DG(34:3),DG(34:4),DG(36:2),DG(36:3),DG(36:4),DG(36:5),DG(36:6),DGDG(34:1),DGDG(34:2),DGDG(34:3),DGDG(36:2),DGDG(36:3),DGDG(36:5),DGDG(36:6),MG(12:0),MG(16:0),MG(18:1),MG(18:2),MG(18:3),MG(20:4),MGDG(34:1),MGDG(34:3),MGDG(36:4),MGDG(36:5),MGDG(36:6),SQDG(30:0),SQDG(32:0),SQDG(34:1),SQDG(34:2),SQDG(34:3),SQDG(34:4),SQDG(36:3),SQDG(36:4),SQDG(36:5),SQDG(36:6),TG(30:0),TG(36:0),TG(38:0),TG(40:0),TG(42:0),TG(42:1),TG(44:0),TG(44:1),TG(46:0),TG(46:1),TG(46:2),TG(46:3),TG(48:0),TG(48:1),TG(48:2),TG(48:3),TG(48:4),TG(48:5),TG(50:1),TG(50:2),TG(50:3),TG(50:4),TG(50:5),TG(50:6),TG(52:1),TG(52:2),TG(52:3),TG(52:4),TG(52:5),TG(52:6),TG(54:1),TG(54:2),TG(54:3),TG(54:4),TG(54:5),TG(54:6),TG(54:7),TG(54:8),TG(54:9),TG(56:1),TG(56:2),TG(56:3),TG(56:4),TG(56:5),TG(56:6),TG(56:8),TG(58:2),TG(58:3),TG(58:4),TG(58:5),TG(60:4),TG(60:5),TG(60:6)
PI597965_control,23045433.84,203957.2236,3369831.642,2250967.611,1947657.246,956912.8961,26586.89151,70656.88461,311940.7244,2050076.203,530092.0318,1013090.444,615174.406,1409080.481,13595066.9,304765.9636,1812667.422,630279.4945,30767466.54,891903.1253,508136.5892,896323.7813,194022.0852,3025872.263,311.2544219,85712.97461,7955724.029,4399200.778,7616163.827,129423900.2,15911.02278,1620291.959,117080.4841,310768.8895,5106048.473,41896.7683,223340.3869,159750.8526,306325.102,2542173.401,6944.735629,139557.185,100085.9779,33817.89622,53048.73086,2929.264237,20899.4365,8810.906681,13134.70022,11263.67454,10639.8394,4089.997416,57885.47226,16358.93503,9294.445357,4553.267561,4420.666569,8618.394818,67077.39612,145971.32,74771.07367,8551.392596,6042.707411,3310.243898,38410.82004,216245.8848,634661.7738,392100.958,494799.0274,340950.9172,13045.21248,23778.80126,103726.4674,174056.5645,195031.2341,430514.1099,1452966.78,443158.0577,194464.619,23033.19253,3051.625153,3299.853731,8738.712029,8896.854096,9801.473333,3871.299841,2196.121736,1465.572903,2145.286572,1658.535169,2757.234911,4075.514059,1724.171103
PI597965_lowinput,17668683.66,3270205.83,2068622.956,1262023.744,1409452.902,2127356.75,38274.52027,64927.24152,317499.3282,1222408.368,588249.691,1212481.778,311206.7633,917418.9594,9243815.337,271169.4716,2378890.642,597382.9323,28166447.28,474960.2154,216157.7721,681469.1148,59485.01125,2133246.116,5894.598923,23358.93946,3530298.238,1827018.554,4228048.525,96025985.47,10841.11552,847987.7933,24253.90953,165007.5909,2328594.907,11011.92051,174557.0439,72241.70923,191643.1552,1190881.268,6764.688648,50254.19208,38000.92751,11466.88521,20994.73662,2057.832836,5975.579051,8164.744298,32082.49078,22526.36304,31602.70061,1054.466016,69113.9799,55195.52284,35410.68842,3340.380196,538.854548,1618.763795,89255.2466,132001.7006,71237.29298,7311.806061,4545.761592,3292.401575,21554.75975,141881.1842,298156.4545,597142.7275,861086.4323,700010.0614,8936.043984,47577.95925,257023.9449,605718.1788,1868218.492,1547286.394,5046456.324,2618246.533,1213250.129,30834.23662,3693.945529,3526.527463,19257.04188,35576.03873,161135.6623,18006.09366,3412.512151,1390.935501,2073.044057,1822.992103,2834.978631,3760.278015,2068.633552
PI597966_control,21604916.71,199383.5281,2360873.512,1594409.798,1528169.89,946678.5406,16864.5379,54248.2484,186131.5726,1332066.763,519145.431,1169341.051,340868.6157,777206.7264,12454261.79,157295.7961,1619918.399,411852.5472,32093884.61,539987.3395,422572.2787,850084.0115,155583.6059,3064769.313,245.8403506,32661.81871,5986275.447,1995359.795,5568407.329,123902062.8,17066.23809,1578694.991,66454.8086,231632.1767,5563897.869,31232.61421,241430.7851,132341.0205,333488.6715,3048310.897,19502.17178,404208.0849,227741.1882,61956.43316,101533.2093,6203.516776,23287.6291,18831.59909,12333.74873,14568.08976,11411.53172,5586.302955,39344.09917,9469.591722,9501.612217,4603.658505,3813.389437,9507.949451,61127.82936,152735.4186,79748.3245,8872.92077,5693.68269,3509.651821,33077.78701,202036.2067,557672.7045,370962.4502,491920.5659,363065.2463,10463.89441,22496.84287,106440.7982,174879.7877,175154.5038,395723.7869,1524988.714,482200.5595,209708.0217,19469.17195,2992.810103,2819.165999,6517.324418,8559.930711,10520.16623,3629.63165,2396.114719,1255.887371,1488.625503,1418.904229,2404.68368,3984.569335,1689.136864
PI597966_lowinput,17506144.79,3421288.611,2311032.687,1453419.36,1675852.241,3231903.96,50777.23232,63455.96196,252892.2775,1162771.871,683649.7274,1861479.952,312863.4437,969982.5275,9961143.234,208169.598,2164562.893,632833.9298,30718035.64,570269.0484,269964.0327,712993.0369,72854.41391,2222372.798,14276.08342,35797.8409,4960903.548,1802778.617,4237450.101,93421297.08,14592.02996,1274964.832,23110.7037,171200.5496,2768543.285,12987.23317,176143.0913,69242.70451,198801.8938,1071288.873,139699.2076,557143.0603,316833.0096,106450.3425,192006.1559,10415.36993,33193.96606,13807.68899,60337.62237,58062.63226,27576.21167,4352.919894,99799.85785,67061.84227,44491.21277,5531.494289,2430.812023,6366.423686,148741.8265,242247.3033,138084.2996,18687.31146,10945.64997,9751.011731,46092.80334,216389.3717,377550.2613,830536.1913,1380803.296,1472155.214,15048.07896,85665.16666,239344.5894,589707.2427,1520076.061,1173298.691,5397475.007,3438534.553,2065551.574,35829.04871,9799.788453,4570.044386,19963.22368,18021.79472,115336.2757,18995.78765,7878.471078,2783.248975,2810.93889,2016.374903,3143.089446,5114.193509,3382.402365
PI597967_control,24024251.2,241657.9358,2650735.527,1980840.64,1782110.45,1176428.569,35289.83752,52836.18219,180119.1558,1543802.347,609249.4467,1201901.119,427032.6278,1039993.438,15750049.76,186724.0671,1912054.601,524989.725,35795214.48,689118.7921,500594.0867,1005506.484,192320.9303,3131038.077,333.8750564,70563.75041,8341087.536,2662416.87,7599439.842,137119530.4,24497.38663,2122314.093,87725.3114,276884.7977,6615259.262,44113.67845,253384.4706,144223.9726,344297.705,3387016.38,10644.02632,274558.2312,164114.9254,55170.79066,101076.2201,7157.349568,31280.9907,12012.18841,22816.97605,21693.68885,17896.66638,5684.882081,63389.06555,17755.46217,14590.93881,7750.68579,4630.672535,14961.70736,82359.19017,202200.0631,97986.71849,11221.89566,8664.572047,4278.17838,45822.6269,269661.6673,625830.0055,490451.5813,644417.4053,451294.5284,15769.64285,26209.97348,161779.5965,234236.0351,260402.5397,457978.2448,1899800.411,626937.4363,259152.2549,13789.06442,4567.496183,3695.539366,7653.406348,10890.48718,13490.08276,4382.121828,2395.336135,2020.432771,1972.446279,1983.124625,2616.996031,3936.397664,1875.613247
PI597968_control,26383666.08,214729.1729,2763000.487,2026231.269,2186269.976,1685542.567,37545.6797,57836.68472,144110.0699,1837610.705,806646.1788,1692770.94,667308.8141,1394660.986,19190460.55,247440.4919,2448666.041,588437.4626,39582156.17,681505.4462,598581.0987,893568.7218,196587.8339,3457287.311,228.2092509,72453.16786,11369642.24,2726947.44,6504391.552,149917275,31070.00214,2647958.125,99461.60778,303244.1443,7827120.334,46673.49799,344335.6586,152684.8102,368289.225,3722711.139,4039.598776,108820.4543,53071.10459,26429.54931,42270.62656,2722.506552,16920.0162,7900.917362,13701.53827,19608.45937,12635.01157,6831.920811,60994.71004,12994.58644,13846.45311,8617.37672,2948.164744,9221.312379,47946.92615,198824.3861,145256.3537,12782.96572,11595.27497,6711.869301,29689.77271,185347.4769,459407.1523,454193.2653,785035.1208,687783.3108,9857.797598,18448.47548,77729.78131,146791.8242,191901.8366,432688.1375,1881312.871,654342.1092,328802.8717,9991.759296,3901.209654,3502.927891,7106.335517,10186.05424,11046.34839,5600.732242,3989.979081,2983.819096,1804.743253,2858.020256,3466.399769,7563.908988,4768.691084
PI597968_lowinput,20518588.21,3368408.586,2094759.393,1277114.86,1504507.976,2774749.885,33422.71608,58984.27926,258660.3039,1236119.976,672516.6544,1472268.823,342163.3684,962544.7846,9955608.892,191579.0764,2028893.8,592667.2118,31764453.8,504556.5222,242903.1721,737536.7304,65667.04075,2446413.326,12331.80724,21387.38895,4526916.334,1829749.141,4385382.463,111122024,16419.6195,1289420.27,31341.81843,154306.897,2790921.546,11741.96303,178192.9658,69543.99447,199672.6018,1298339.877,57415.88359,457524.0025,246407.3524,92688.65641,157909.4244,10252.70984,29674.11572,40031.93305,88775.46377,131095.5976,53099.6681,3880.319437,131397.4985,172660.9357,99736.5189,11974.46293,2064.822168,5484.297305,171574.6058,321197.9718,156152.7359,19959.91529,7531.709283,5459.400452,63282.16773,268022.2078,549830.3785,931323.4755,1298453.35,1326349.664,29589.45403,164945.196,560488.694,1063814.937,2189254.14,1501226.854,5908472.489,3787261.324,2269805.611,66617.18241,15994.24375,7608.880913,21958.37886,15325.75942,119419.9971,21346.31662,16495.01898,4643.376161,6592.509344,2082.506319,4698.148858,4024.545113,3668.273939
PI597971_control,24803116.69,228525.9107,2902329.754,2032429.648,1936864.116,1137876.669,36415.43304,55592.94033,198103.7557,1889660.153,690973.503,1420742.247,488290.6876,1111556.636,15604347.64,221559.9766,1922092.491,560037.0925,37140486.96,763345.0941,476927.9938,975968.9511,192557.6566,3192389.092,247.5209726,70907.42742,8115862.458,2864808.486,6844586.966,142415479.2,22169.09668,2112670.901,99889.93728,265068.8054,6552145.573,49408.73593,268044.2007,153847.9688,350321.6527,3570323.625,3627.23659,151094.3213,81071.9583,31786.95807,49691.07764,3192.093074,17453.624,8848.716009,17305.79359,16289.81985,9949.831743,4330.638239,53343.77502,11255.78775,10084.36365,3894.143884,3225.278824,10135.33477,47776.89907,144361.9565,78399.02027,10465.33342,8667.01636,4728.990384,26447.11741,154165.1073,570362.8178,474051.0558,682763.5582,482813.3919,11297.41612,14708.76285,68984.92917,137876.3495,174071.8031,576523.5448,2297977.653,732610.9871,311480.5001,11134.67771,2690.247052,2512.267251,7053.193447,9624.059718,14929.02758,6359.509346,2265.728446,1368.703279,1911.012489,2099.384902,2318.200383,3928.29036,1964.741832
PI597971_lowinput,21225754.43,4027705.489,2435121.746,1527993.174,1680581.187,3752804.833,43052.15956,76173.61589,279071.0427,1286282.67,861916.3945,2266993.89,368338.9193,1183026.868,12415588.13,281304.937,2505826,631020.7184,36708300.09,706157.9045,297661.0545,853034.0001,64545.92559,2682525.721,8377.612329,18924.04765,5376135.093,1639833.547,4177515.724,114484278.3,20895.74697,1546807.283,22383.7877,152042.9366,3558920.749,12043.91771,220464.7277,76404.96082,205212.5761,1544196.075,180816.1647,980754.953,564310.4614,184771.4186,349519.0932,20028.98941,65137.66168,37825.98807,87292.16512,82438.14601,49834.32207,6691.024989,139505.0565,121200.9912,97047.09542,8568.96609,3185.643743,8332.821831,247482.4109,338950.5605,206400.2134,26978.18584,14787.82314,13103.58993,87034.49186,300375.8375,528070.0715,1025487.391,1948531.686,2375045.029,32415.87231,132453.03,405563.167,892282.1235,2088178.202,1425216.747,6610018.892,5742319.16,4053566.309,53574.56215,19791.75301,7821.641218,20483.40781,23921.94309,133382.9658,28444.04979,17789.66231,4514.213258,4254.88657,2979.389378,5145.442138,9791.544962,8125.528559
PI597972_control,22041367.27,139862.0585,2017655.943,1487768.445,1640216.833,1040535.291,35544.83186,56028.54168,160291.1008,1553837.426,620296.3634,1206425.986,380586.0644,766948.3634,11708230.97,199990.395,1912593.829,409880.7206,30975746.33,456968.3,414704.3934,617200.0697,143571.6271,2744379.943,271.7531028,32305.00463,6015815.619,2009544.047,4806186.152,125996750,12834.51527,1515451.062,51483.19795,189869.9965,4419194.003,23554.79572,238268.1935,105737.5281,251698.0283,2371604.418,6239.779953,132936.0723,63158.67963,32182.5863,50047.47142,2560.798803,18008.44289,7725.342697,14973.50602,18828.35625,13599.75693,6736.806614,68099.58755,11908.32835,10521.19977,8754.442379,3530.20598,9423.383978,67195.68464,187237.5655,116278.448,9583.32805,11180.96843,8164.305223,38991.93897,235657.838,719891.8744,608424.9035,1041811.802,862616.3881,13830.46608,25129.82009,110701.5504,232408.3819,326410.531,724796.0567,3352421.412,1276357.916,565288.328,28487.00071,4374.841583,3041.327629,11581.55787,17836.07186,20830.49586,9718.533019,2325.340553,1504.361395,1646.437735,2724.276543,3393.842866,6218.390902,2434.394229
PI597972_lowinput,29325411.77,3478416.626,2671372.958,2039509.826,2458228.398,4509757.901,63135.88036,76614.93099,331635.3897,1806512.78,1152044.811,2338109.647,475735.3973,1414348.839,17760027.4,286402.1266,3610615.231,907039.6315,45922925.72,844590.4007,426534.211,866992.1975,119361.4547,3670797.871,12090.20625,41739.87626,7782387.643,3231579.872,8115784.159,155785182.8,28349.52178,1747611.724,42715.06299,189076.8246,5281843.338,29215.63187,300369.2057,114809.7566,316156.3429,2634197.789,23389.09279,232014.6788,110473.1913,50418.27636,80879.35174,6557.345735,16810.31985,16256.4029,65009.51976,65133.39632,27310.80102,2113.078966,147151.2317,76357.56671,37692.80249,4028.920353,1014.409234,9833.37515,113030.9584,185036.5997,108843.854,12327.02303,9336.202086,6183.220107,46585.30125,168449.9526,358437.6551,813995.8569,1480970.803,1520415.677,15482.33179,95118.39446,274469.4655,520468.8741,1266813.047,1546497.109,6963806.464,4338821.055,2695727.515,41717.31365,8034.919087,4292.514597,14060.77693,15796.22058,152802.4341,20820.17751,5530.44754,1924.178684,2175.604889,1923.044517,2689.402459,3718.121768,2481.606906
PI597973_control,22156835.39,141942.5214,1934302.01,1646122.195,1943472.198,973471.3028,28872.72727,69000.53074,249032.7234,2283430.7,712653.6961,1138889.097,403999.9446,743094.2433,11363875.85,195291.0525,1706781.425,462828.761,30299321.3,443020.6011,453063.7039,616902.1949,183512.7085,2751878.025,220.9190949,28442.32568,5436572.567,2738263.467,6606401.819,125292936.6,12964.67898,1423797.38,59728.59315,219130.6212,4255051.201,32751.67149,202019.1336,130322.6452,290636.8902,2379713.986,6637.152079,266491.7359,178158.3352,66939.36529,106602.4909,5427.389562,29626.60603,18328.60988,17447.25136,19574.08304,10522.7217,5844.638052,75834.4416,32206.4094,17518.78745,5082.047942,6697.792383,19097.91386,78879.67838,182530.0076,94160.83828,16305.86678,11054.42732,5717.338736,46777.63861,261521.8939,1026378.125,654963.0132,802762.5839,505515.2352,18525.93766,31289.71017,152885.8353,297447.641,407565.2958,1133808.734,3781254.342,953733.0541,328194.9537,36869.68019,4935.833547,7843.908088,23288.38411,25071.35617,25733.85978,11054.31103,2683.728369,1638.201942,2768.428516,1933.032496,5025.486444,7000.462741,2425.007556
PI597973_lowinput,22801544.01,4182133.751,2640581.8,1971173.155,2316965.096,3928753.167,55634.54284,95189.221,371670.1334,1670111.603,1017269.608,2077804.84,398656.8122,1141576.029,13839770.6,267719.5632,3959961.138,687481.1636,36964095.92,773013.9135,368962.0922,952654.8982,113280.3144,2755519.923,27182.30782,48410.72294,6524706.832,3035080.543,6694227.48,122773033.9,25099.37423,1526943.301,37071.92502,171029.9679,3466034.822,18183.98462,270837.2416,79599.99433,223856.011,1545129.812,41675.95879,241093.7932,132421.9565,56797.41007,95996.79731,4656.601,19757.9648,12103.07907,59196.64176,77739.35702,29986.31967,6564.722143,106549.0339,98883.7581,43457.11382,4887.883672,4897.857072,26814.70292,141593.9512,240709.0559,128420.1529,18893.30343,18393.1264,15246.99923,53300.49088,218552.0309,460007.7741,933146.3634,1482026.473,1336917.493,19532.30829,107240.8608,356221.1059,745763.0235,2054353.767,1526030.449,6368451.384,3563429.212,1980345.336,39248.36004,10226.45696,4799.698168,21333.30504,18782.23829,150530.4574,22661.77831,9459.856882,2871.367458,2867.308027,1947.31987,4885.0874,5668.016263,3520.489352
PI597976_control,25560860.5,249141.4501,2773170.985,2754258.688,2474441.518,1389725.534,55753.21113,75036.38769,252828.0122,2450722.179,743418.0071,1381644.171,694598.6989,1933666.901,17665160.51,353709.4985,2457351.418,801717.3107,38097369.64,836772.4454,643095.6338,1081999.297,296417.784,3608362.839,631.6312514,65571.78822,10547270.41,4528545.125,10608606.71,146199636.2,24601.98334,2131569.136,87863.17957,388310.2997,7305011.428,52723.52273,314791.2977,194120.4337,431171.0757,3839123.393,95773.11269,1944026.593,1420769.523,407672.2144,646664.4638,22725.60379,149749.7911,70024.35375,60606.61163,84157.05615,41500.09271,8454.529777,89390.84409,37556.25183,32027.13975,32327.85045,6091.366196,12391.36147,92025.66022,264554.5487,125692.9209,16919.54783,7569.781834,4809.472645,49788.7615,303890.1362,773906.1792,642199.7044,730860.7075,483565.7594,23047.34496,42305.516,226620.6276,319487.5194,367905.9617,658210.1059,1877837.624,554074.8624,243291.6636,21702.4241,5880.471331,5609.9676,17015.4622,16244.60767,20890.37089,7367.431762,3835.363629,3694.902077,2648.273357,2742.299477,5028.031347,7718.943602,3326.293786
PI597976_lowinput,25767535.45,3942456.633,2695688.101,3325567.49,3497554.074,4110874.477,89612.18964,157353.3616,637327.3712,3207898.937,1205845.656,2591836.179,609730.0414,1853995.013,17355594.72,386648.556,5068027.072,1070746.392,43113449.17,1011260.133,468872.7781,1130120.917,164559.1569,3332569.461,9235.268099,62805.01315,7038912.372,4692862.482,9962838.482,137820116,15589.57314,1957472.648,77807.03431,335889.3997,5619652.041,48955.36254,466108.2775,179291.3801,498976.3536,3050790.524,102071.5601,465438.4038,240460.857,97540.63045,146791.9748,6661.569794,37710.43995,21330.93452,90182.59195,105561.5286,56092.27113,3001.750319,144970.551,149942.8455,122750.6532,8059.305921,2608.997544,8906.115495,192021.4846,262183.8515,111275.0788,20420.9322,8415.413214,2863.032199,62778.72607,212741.9149,528670.6736,1131883.062,1313575.137,861094.3607,26836.7733,93833.73732,464236.4782,1226271.935,3205143.743,2913942.324,7809700.123,3798172.265,1511608.167,530650.8057,18646.29583,16064.69397,31382.01051,54168.20428,276975.6954,24309.65281,9832.806973,3516.87233,3244.193267,2432.828886,3891.895753,6207.121644,3641.249532
PI597980_control,25910023.71,264424.1589,2651178.374,2641047.918,2780574.887,1614284.324,49510.57912,74261.75527,217432.6642,2490687.722,1005094.709,1891230.665,461291.4701,974783.7032,16739771.82,189142.3813,2287616.825,525238.3113,39786813.98,836066.7522,620464.23,1136983.27,247997.9133,3462979.625,3577.52263,80531.05585,8678853.949,2836714.596,8258441.868,142224183.2,27503.79978,2259313.267,99147.24679,248426.0357,6852358.248,51460.79694,297235.5421,152553.1383,375466.7748,3781122.967,6722.914642,231811.943,154761.3757,60721.37337,86174.94548,2636.315216,34593.18718,6091.050533,20079.13647,21326.97718,15595.31361,7237.877134,69160.71869,21124.31327,15312.02855,8048.713555,3899.770275,16311.74475,81436.60828,237867.1752,129052.3412,11509.77643,13296.28566,6430.110299,44027.23292,259456.5705,755813.568,671540.2873,941256.0434,639178.0954,16168.30924,24182.86605,143490.5982,236467.3541,269426.5266,651903.0642,2995223.436,1000036.975,406138.3518,15560.92162,3518.259866,3685.765481,9619.418236,12141.56863,15643.53491,5937.153908,2432.084241,2087.861773,2569.702335,2021.205486,4316.702547,5764.725448,2353.440362
PI597980_lowinput,25838690.96,4014649.615,2550333.313,2185978.189,3089094.062,3666904.156,91742.34748,132209.4724,516542.5718,2953817.924,1284495.975,2355547.222,699202.0753,1740219.869,18055096.81,448624.9321,4898145.549,949221.5621,42592127.13,793298.1256,442852.4487,1011562.203,140299.0536,3155629.026,32508.32464,20103.13907,6995015.823,3791076.799,7777485.803,138589840.7,22099.39837,1836867.903,40457.14331,216466.2757,4370968.446,35261.78027,344910.1296,138507.522,378433.1527,2452008.375,39962.63292,247116.7863,117780.5544,51296.24526,84211.60731,5231.918809,14373.66535,13866.42013,53735.0753,56051.8831,22296.26779,1853.820412,97296.57225,92420.11229,40584.89781,5650.800854,1211.137243,8547.196468,149070.579,289619.8329,139754.3955,17513.77525,12713.0871,4732.184171,51850.77275,258640.4648,646183.9577,1442648.747,1749016.589,1161025.102,16024.47617,125316.5734,386699.3527,1080690.06,3205207.424,2942624.543,8627408.711,4016881.75,1766236.851,28748.36418,12069.20042,15502.51749,64133.21967,49454.5613,290704.3069,32183.9583,9391.334643,3620.7773,6888.112419,4103.658657,8402.895029,8026.853385,5628.787538
PI597982_control,17145110.22,142924.2794,2239590.995,1532157.856,1770978.867,837548.768,24745.20757,68353.8605,249987.0725,1712434.751,511885.2082,896016.9819,399683.3069,855552.8302,10107251.53,215876.7218,1428764.375,385815.8767,23420108.3,489676.6792,401566.0918,635987.8124,157296.8602,2204937.999,205.9931967,49953.92806,5516923.229,2277592.419,4596568.153,101115046.9,11357.48204,1390126.304,52061.30902,211088.382,3866890.797,26623.57404,178661.0192,113683.7492,236668.2815,1994612.758,10237.18848,270844.4095,123271.6869,57434.15747,96013.99695,7944.557658,30010.82756,23425.76976,19839.40855,11945.45271,9800.736137,3844.433282,70389.65268,15972.41571,22622.6289,5374.85767,8696.744331,11631.74056,72923.81675,213612.9844,108533.919,17734.69951,8474.25594,3636.71105,38708.18688,224084.5131,694200.4078,690336.2618,805213.0574,461292.935,14453.61222,20080.76576,128256.2711,244309.3004,316940.377,814653.9316,2403462.398,653955.8681,241048.1451,13612.92181,3593.946927,4207.619614,8799.144545,12651.32139,20606.92393,7457.689557,2954.478251,1406.225458,2063.693398,1644.88599,2981.638384,3782.349825,1952.986589
PI597982_lowinput,29227402.44,4309427.052,2489284.782,2087354.75,2742556.873,5371222.747,137920.4489,80414.10559,364702.7947,2137473.531,1285324.14,3311062.539,519467.0887,1495633.183,18046136.46,272172.3037,3365950.9,907596.7949,44608266.19,777504.2227,449982.0126,993844.9679,135258.4432,3699700.226,9271.386688,55155.41253,8940292.013,3135861.156,7157412.807,156047500.2,16969.25991,1286694.667,22101.78697,128810.552,2828876.21,11560.08893,197909.8989,80193.0978,210526.1749,1297173.677,69972.46002,474335.5305,268480.8117,113842.4838,184151.7575,17521.57645,32032.65568,23241.83595,83172.62157,105763.2729,30606.42615,15052.08092,123829.6057,139460.5667,75756.0795,10534.52142,1815.647238,15907.49535,165174.9176,303968.8162,177586.213,12524.53083,18030.93237,9603.10387,62898.57042,255899.8838,545185.144,1186870.152,1902278.188,1725141.147,29892.79117,176416.3553,500480.6553,1026100.673,2494088.224,1945942.139,8215990.312,4872644.37,2786253.835,64631.61924,16779.56469,10168.09971,30911.89618,20397.29799,158793.3049,30174.60715,15197.702,8548.156543,6821.271325,2557.685769,5792.301936,6587.483892,4498.90011
PI598069_control,19875346.38,213172.1871,2559383.921,1781580.238,1826207.583,1760325.773,47050.96841,52713.36653,106438.3166,1523756.839,837440.6873,1904157.912,333748.5937,818428.9944,16508571.27,164425.908,2254045.491,403346.3603,40268262.04,629819.3381,521984.7626,924019.7106,127321.2629,3185131.335,103.3230285,47526.12737,7865829.721,2155712.617,5801216.296,136740621.1,21533.44595,2072052.181,58615.58546,211038.7839,6022631.576,31483.83418,282675.7198,109543.9134,285694.5295,3263040.533,42607.72736,556040.1561,397407.0866,103851.3796,168470.8519,8011.918393,46703.29485,24545.02755,24721.72071,38403.94272,28211.87719,15756.84093,45250.5015,16848.67042,16790.434,22126.57192,3332.498347,22210.64796,66027.18457,240494.0924,162494.5854,8059.858527,13880.99907,15954.24594,28131.73862,281642.2804,461532.787,399439.9734,735882.1128,802809.591,10708.24917,30619.70337,313164.4448,216886.183,190469.8609,376136.4563,1808835.71,711362.8547,343604.3121,20554.3812,3414.299019,4021.348978,7986.191379,9132.518146,12495.60132,5214.853873,1582.790821,2329.323658,923.7212596,1585.613949,2157.205104,4613.953995,2778.9879
PI598069_lowinput,18108455.45,3857943.23,2389594.723,1456826.363,1819999.212,2868170.771,45949.72249,64187.82958,338443.1746,1510806.848,678884.0161,1391900.452,365249.5091,997843.4725,10270535.97,207740.3595,2335672.355,578249.0189,30511516.54,574457.0232,248587.7096,841616.2604,79823.72494,2170587.742,6147.436623,19444.48648,4206037.186,2015719.621,4596273.825,97157562.96,11263.59411,1189843.923,33743.11306,173606.1714,2804417.208,12022.21448,195667.886,85250.6685,217266.4778,1352823.089,19549.08109,215224.1299,114067.4842,45192.42101,83259.22076,6945.04626,19487.58539,9926.995924,57260.26379,51294.19686,32717.9901,1386.626603,103198.0112,110339.7022,49384.99262,3793.087684,1499.748029,4084.644462,168370.1935,213944.0731,88358.94109,10588.65358,5585.678456,3625.602485,55570.21035,227665.4987,426239.325,720312.9591,974895.8782,837403.6828,14704.42164,96344.86424,309150.2777,606573.734,1592679.843,1314500.214,5086153.743,2399468.552,1247569.169,30698.98527,7490.956972,4741.326795,17741.17563,13134.90678,126270.5558,18031.41374,5086.247493,1917.790929,2526.209577,1701.686844,3113.754104,3597.022268,2438.261891
PI598070_control,24839765.47,250668.6195,2855659.347,3078448.046,2532508.575,1280044.934,20871.35859,97346.27679,375753.7139,2835776.622,691918.3073,1209339.182,716617.2348,1797188.24,15810848.48,348220.3705,2247218.449,706015.5436,35161587.47,817483.2361,928343.5993,1084147.059,202080.0333,3285748.206,139.5385066,96302.32963,8784517.754,4578450.081,7160431.429,138280073.2,19687.07805,1991057.832,112936.0493,207451.988,5458110.981,42457.08727,256702.1317,186803.2757,380374.1317,2984289.563,37152.43487,621854.7484,455046.3122,122148.4559,196004.7063,8275.320679,50383.33411,24482.39537,26151.85736,34453.55966,22817.66653,10609.65682,62176.04729,17755.76371,18978.36187,15223.49126,7302.369124,16614.46736,91106.634,256408.3126,110210.9127,11839.97428,12382.47853,6275.964664,33057.78689,257884.1021,524446.3454,507791.5121,619794.0294,445911.4224,11282.43781,12296.38635,166400.0944,183502.839,203891.4268,487628.6791,1706627.841,538784.1106,229589.1276,13471.71348,3370.075965,3232.864719,9307.905999,10979.18363,15641.78215,4882.597593,2563.297796,2140.105999,1686.058322,1646.999568,3311.170584,4992.372466,2473.896203
PI598070_lowinput,20089711.43,4028875.314,2589374.4,1922975.513,2290315.61,3333403.699,57616.41752,79943.35218,371345.5233,1860794.867,827382.9071,1762987.273,449495.8295,1337099.368,13726363.84,297580.8439,2745968.619,833232.4369,34071172.04,785296.7608,341755.7089,849897.1656,106199.0676,2594840.804,7368.439411,46862.75838,6180344.151,3192849.789,7229499.921,118004359.5,19642.75585,1740429.247,36936.88283,196452.6616,3497320.155,20417.0393,210848.4478,99735.78349,258097.7416,1452881.064,30740.10667,465586.0759,163265.5409,66427.73016,131248.8374,8140.549824,24697.52453,24622.26934,84197.79674,97910.11093,58589.81141,2076.506077,129337.295,229887.6181,125604.7831,11173.3923,1852.617688,4751.532723,445233.4416,499732.3458,144178.5852,22048.5973,7341.146572,4719.355959,92906.60673,649567.2592,721508.8582,1129758.111,1379346.574,1003181.139,32114.29533,207704.6077,691571.3231,1265662.039,2138178.738,1674711.473,5606100.596,2905658.215,1336371.037,55747.10152,23973.79668,15750.59103,24425.55741,21752.55166,154085.7041,17494.9044,20333.2617,3986.053443,5665.211053,3812.611642,7517.180364,8082.813275,3065.540707
